id;name;H-index;University;;
1190;Linda Kukolich; Not in Google Scholar; Not in Google Scholar;;
1191;David Shahian; Not in Google Scholar; Not in Google Scholar;;
1192;James Edward Steck; Not in Google Scholar; Not in Google Scholar;;
1193;Steven R. Skinner; Not in Google Scholar; Not in Google Scholar;;
1194;Alvaro A. Cruz-Cabrara; Not in Google Scholar; Not in Google Scholar;;
1195;Elizabeth C. Behrman;16; Wichita State University;;
1196;Rich Caruana; Not in Google Scholar; Not in Google Scholar;;
1197;Steve R. Waterhouse; Not in Google Scholar; Not in Google Scholar;;
1198;Holger Schwenk;33; Facebook;;
1199;Maurice Milgram; Not in Google Scholar; Not in Google Scholar;;
12;Frank H. Eeckman; Not in Google Scholar; Not in Google Scholar;;
120;James A. Ritcey;32; Unnversity of Washington;;
1200;Peter Sollich;40; ;;
1201;Lawrence K. Saul;47; UC San Diego;;
1202;Ke Liu;16; Beijing University of Technology;;
1203;Robert L. Tokar; Not in Google Scholar; Not in Google Scholar;;
1204;Brain D. McVey; Not in Google Scholar; Not in Google Scholar;;
1205;Bruce Graham;1; Durban University of Technology;;
1206;David J. Willshaw; Not in Google Scholar; Not in Google Scholar;;
1207;Minoru Asogawa; Not in Google Scholar; Not in Google Scholar;;
1208;Michael J. Turmon; Not in Google Scholar; Not in Google Scholar;;
1209;Michiaki Taniguchi; Not in Google Scholar; Not in Google Scholar;;
121;Geoffrey E. Hinton;132; University of Toronto;;
1210;Tom Brashers-Krug; Not in Google Scholar; Not in Google Scholar;;
1211;J?rg Bruske; Not in Google Scholar; Not in Google Scholar;;
1212;Gerald Sommer; Not in Google Scholar; Not in Google Scholar;;
1213;N. Barkai; Not in Google Scholar; Not in Google Scholar;;
1214;Suguna Pappu; Not in Google Scholar; Not in Google Scholar;;
1215;Malcolm Slaney;50; ;;
1216;Peter T. Szymanski; Not in Google Scholar; Not in Google Scholar;;
1217;Jim Bergen; Not in Google Scholar; Not in Google Scholar;;
1218;Donald W. Mathis; Not in Google Scholar; Not in Google Scholar;;
1219;Michiro Negishi; Not in Google Scholar; Not in Google Scholar;;
122;James L. McClelland;95; Stanford University;;
1220;Morten With Pedersen;17; University of Padova;;
1221;Lars Kai Hansen;54; Technical University of Denmark;;
1222;Toru Ohira;18; Nagoya University;;
1223;Teresa Serrano-Gotarredona; Not in Google Scholar; Not in Google Scholar;;
1224;Bernab? Linares-Barranco; Not in Google Scholar; Not in Google Scholar;;
1225;Jos? Luis Huertas; Not in Google Scholar; Not in Google Scholar;;
1226;V. Sundareswaran; Not in Google Scholar; Not in Google Scholar;;
1227;Lucia M. Vaina;32; ;;
1228;Irfan A. Essa;50; Georgia Tech;;
1229;J?rg Kindermann; Not in Google Scholar; Not in Google Scholar;;
123;Richard C. Windecker; Not in Google Scholar; Not in Google Scholar;;
1230;Jesper Vedelsby; Not in Google Scholar; Not in Google Scholar;;
1231;A. J. Holmes; Not in Google Scholar; Not in Google Scholar;;
1232;J. Hajto; Not in Google Scholar; Not in Google Scholar;;
1233;M. J. Rose; Not in Google Scholar; Not in Google Scholar;;
1234;Joseph Sirosh; Not in Google Scholar; Not in Google Scholar;;
1235;Risto Miikkulainen;56; University of Texas at Austin;;
1236;Dawei W. Dong; Not in Google Scholar; Not in Google Scholar;;
1237;Cesare Furlanello;31; Bruno Kessler Foundation;;
1238;Diego Giuliani;22; Fondazione Bruno Kessler;;
1239;Edmondo Trentin; Not in Google Scholar; Not in Google Scholar;;
124;Joshua Alspector; Not in Google Scholar; Not in Google Scholar;;
1240;E. Erwin; Not in Google Scholar; Not in Google Scholar;;
1241;Magnus Stensmo; Not in Google Scholar; Not in Google Scholar;;
1242;Todd S. Braver; Not in Google Scholar; Not in Google Scholar;;
1243;Steve Lawrence;63; Google;;
1244;Andrew D. Back;21; ;;
1245;Dimitris I. Tsioutsias; Not in Google Scholar; Not in Google Scholar;;
1246;Ehud Zohary;33; Hebrew University;;
1247;Leslie S. Smith;21; University of Stirling;;
1248;Alexander Grunewald; Not in Google Scholar; Not in Google Scholar;;
1249;Susan L. McCabe; Not in Google Scholar; Not in Google Scholar;;
125;Robert B. Allen;28; ;;
1250;Michael J. Denham; Not in Google Scholar; Not in Google Scholar;;
1251;Peter Auer;29; Montanuniversität Leoben;;
1252;Mark Herbster;14; University College London;;
1253;Manfred K. Warmuth; Not in Google Scholar; Not in Google Scholar;;
1254;Carl Edward Rasmussen;43; University of Cambridge;;
1255;Tsutomu Nakai; Not in Google Scholar; Not in Google Scholar;;
1256;Tatsuo Morimoto; Not in Google Scholar; Not in Google Scholar;;
1257;Ryu Kaihara; Not in Google Scholar; Not in Google Scholar;;
1258;Hiroyuki Nakahara;23; ;;
1259;Ralph Etienne-Cummings;35; Johns Hopkins University;;
126;Victor Hu; Not in Google Scholar; Not in Google Scholar;;
1260;James W. Howse; Not in Google Scholar; Not in Google Scholar;;
1261;Chaouki T. Abdallah;36; University of New Mexico;;
1262;Gregory L. Heileman;24; University of New Mexico;;
1263;Dirk Ormoneit; Not in Google Scholar; Not in Google Scholar;;
1264;Anke Meyer-B?se; Not in Google Scholar; Not in Google Scholar;;
1265;Benjamin Van Roy;42; Stanford University;;
1266;John N. Tsitsiklis;77; MIT;;
1267;Dan J. Kershaw; Not in Google Scholar; Not in Google Scholar;;
1268;Amir A. Handzel; Not in Google Scholar; Not in Google Scholar;;
1269;Philip N. Sabes;19; University of California, San Francisco;;
127;Srinagesh Satyanarayana; Not in Google Scholar; Not in Google Scholar;;
1270;Ssu-Hsin Yu; Not in Google Scholar; Not in Google Scholar;;
1271;Anuradha M. Annaswamy;43; MIT;;
1272;R. Timothy Edwards; Not in Google Scholar; Not in Google Scholar;;
1273;Ethem Alpaydin;32; Bogazici University, Istanbul;;
1274;S. N. Laughton; Not in Google Scholar; Not in Google Scholar;;
1275;Pascal Koiran;28; Ecole Normale Supérieure de Lyon;;
1276;Rasmus S. Petersen;22; University of Manchester;;
1277;John G. Taylor; Not in Google Scholar; Not in Google Scholar;;
1278;Yishay Mansour;63; Tel Aviv University;;
1279;Sigal Sahar; Not in Google Scholar; Not in Google Scholar;;
128;Harry Wechsler;51; ;;
1280;Andrew W. Senior;52; Google;;
1281;Charles F. Stevens;6; Lehigh University;;
1282;Klaus-Robert M?ller; Not in Google Scholar; Not in Google Scholar;;
1283;Howard Hua Yang; Not in Google Scholar; Not in Google Scholar;;
1284;Stefan M. R?ger; Not in Google Scholar; Not in Google Scholar;;
1285;Marina Meila; Not in Google Scholar; Not in Google Scholar;;
1286;Tong Xu;5; University of Science and Technology of China;;
1287;Vasken Bohossian; Not in Google Scholar; Not in Google Scholar;;
1288;Krste Asanovic;49; UC Berkeley;;
1289;Brian Kingsbury;37; ;;
129;George Lee Zimmerman; Not in Google Scholar; Not in Google Scholar;;
1290;David Johnson;95; ;;
1291;Luiz Pessoa;58; University of Maryland, College Park;;
1292;William D. Ross;17; ;;
1293;Christopher L. Fry;28; University of Texas Medical Branch;;
1294;Andrea Drees; Not in Google Scholar; Not in Google Scholar;;
1295;Bambang Parmanto; Not in Google Scholar; Not in Google Scholar;;
1296;Howard R. Doyle; Not in Google Scholar; Not in Google Scholar;;
1297;Jeffrey C. Jackson;17; Duquesne University;;
1298;Mark Craven;36; University of Wisconsin;;
1299;Angelo Marcantonio; Not in Google Scholar; Not in Google Scholar;;
13;Amir F. Atiya;36; Cairo University;;
130;Lyle J. Borg-Graham; Not in Google Scholar; Not in Google Scholar;;
1300;N. Iwan Santoso; Not in Google Scholar; Not in Google Scholar;;
1301;A. David Redish; Not in Google Scholar; Not in Google Scholar;;
1302;Lucas C. Parra;45; City College of New York;;
1303;Soren Kamaric Riis;15; Queen Mary University of London;;
1304;Alistair Ferguson; Not in Google Scholar; Not in Google Scholar;;
1305;Theo Sabisch; Not in Google Scholar; Not in Google Scholar;;
1306;Paul Kaye; Not in Google Scholar; Not in Google Scholar;;
1307;Laurence C. Dixon; Not in Google Scholar; Not in Google Scholar;;
1308;Hamid Bolouri;36; Fred Hutchinson Cancer Research Center;;
1309;Jacek Szymanski;1; Uniwersytet Miko?aja Kopernika;;
131;J. Bernasconi; Not in Google Scholar; Not in Google Scholar;;
1310;Scott Makeig;70; UCSD;;
1311;Tzyy-Ping Jung;55; Univ of California San Diego;;
1312;Peter Stone;67; University of Texas at Austin;;
1313;Manuela M. Veloso;74; Carnegie Mellon University;;
1314;Marcelo Blatt; Not in Google Scholar; Not in Google Scholar;;
1315;Shai Wiseman; Not in Google Scholar; Not in Google Scholar;;
1316;S. Yasui; Not in Google Scholar; Not in Google Scholar;;
1317;T. Furukawa; Not in Google Scholar; Not in Google Scholar;;
1318;M. Yamada; Not in Google Scholar; Not in Google Scholar;;
1319;T. Saito; Not in Google Scholar; Not in Google Scholar;;
132;L. Richard Carley; Not in Google Scholar; Not in Google Scholar;;
1320;David P. Helmbold; Not in Google Scholar; Not in Google Scholar;;
1321;Jyrki Kivinen;21; University of Helsinki;;
1322;Samuel P. M. Choi; Not in Google Scholar; Not in Google Scholar;;
1323;Dit-Yan Yeung;51; Hong Kong University of Science and Technology;;
1324;Stefan C. Kremer;16; ;;
1325;Salah El Hihi; Not in Google Scholar; Not in Google Scholar;;
1326;Steven Finch;12; Harvard University;;
1327;Milos Cekic; Not in Google Scholar; Not in Google Scholar;;
1328;Bernard Lemari?; Not in Google Scholar; Not in Google Scholar;;
1329;Michel Gilloux; Not in Google Scholar; Not in Google Scholar;;
133;G?rard Dreyfus; Not in Google Scholar; Not in Google Scholar;;
1330;Manuel Leroux; Not in Google Scholar; Not in Google Scholar;;
1331;Jonathan Baxter;24; ;;
1332;Atsushi Sato;14; University of Toyama;;
1333;Keiji Yamada; Not in Google Scholar; Not in Google Scholar;;
1334;Asriel E. Levin; Not in Google Scholar; Not in Google Scholar;;
1335;Andrzej Cichocki;77; RIKEN;;
1336;Marian Stewart Bartlett;43; ;;
1337;Jan Larsen;33; Technical University of Denmark;;
1338;Joseph C. Hager; Not in Google Scholar; Not in Google Scholar;;
1339;Paul Ekman;116; ;;
134;Isabelle Guyon;51; ;;
1340;Jefferson A. Coelho Jr.; Not in Google Scholar; Not in Google Scholar;;
1341;R. Sitaraman; Not in Google Scholar; Not in Google Scholar;;
1342;Lizhong Wu;15; ;;
1343;Michael DeWeese;23; University of California at Berkeley;;
1344;Maha Kadirkamanathan; Not in Google Scholar; Not in Google Scholar;;
1345;Jeff G. Schneider;37; Carnegie Mellon University;;
1346;Giacomo Indiveri;38; ;;
1347;J?rg Kramer; Not in Google Scholar; Not in Google Scholar;;
1348;Francois Gingras; Not in Google Scholar; Not in Google Scholar;;
1349;Siegfried B?s; Not in Google Scholar; Not in Google Scholar;;
135;Jean-Pierre Nadal;39; ENS;;
1350;Gregory J. Zelinsky; Not in Google Scholar; Not in Google Scholar;;
1351;Mary M. Hayhoe;42; University of Texas Austin;;
1352;Hugh T. Blair; Not in Google Scholar; Not in Google Scholar;;
1353;Serguei A. Semenov; Not in Google Scholar; Not in Google Scholar;;
1354;Irina B. Shuvalova; Not in Google Scholar; Not in Google Scholar;;
1355;Robert Tibshirani;140; Stanford University;;
1356;Markus Svens?n; Not in Google Scholar; Not in Google Scholar;;
1357;Geoffrey J. Gordon; Not in Google Scholar; Not in Google Scholar;;
1358;Geoffrey B. Jackson; Not in Google Scholar; Not in Google Scholar;;
1359;Jun Tani; Not in Google Scholar; Not in Google Scholar;;
136;L?on Personnaz; Not in Google Scholar; Not in Google Scholar;;
1360;Kevin J. Cherkauer; Not in Google Scholar; Not in Google Scholar;;
1361;Kenji Fukumizu;35; Institute of Statistical Mathematics;;
1362;J?rg A. Walter; Not in Google Scholar; Not in Google Scholar;;
1363;Thomas P. Rebotier; Not in Google Scholar; Not in Google Scholar;;
1364;Samuel R. H. Joseph; Not in Google Scholar; Not in Google Scholar;;
1365;Robert H. Dodier; Not in Google Scholar; Not in Google Scholar;;
1366;Yoonsuck Choe;19; Texas A&M University;;
1367;Yoky Matsuoka; Not in Google Scholar; Not in Google Scholar;;
1368;Tsungnan Lin; Not in Google Scholar; Not in Google Scholar;;
1369;Peter Ti?o; Not in Google Scholar; Not in Google Scholar;;
137;Nathan H. Brown Jr.; Not in Google Scholar; Not in Google Scholar;;
1370;Brendan J. Frey;61; University of Toronto;;
1371;Ansgar H. L. West; Not in Google Scholar; Not in Google Scholar;;
1372;Richard Kempter; Not in Google Scholar; Not in Google Scholar;;
1373;Hermann Wagner;117; ;;
1374;Raymond J. Wang;3; Not in Google Scholar;;
1375;Ren? Gourley; Not in Google Scholar; Not in Google Scholar;;
1376;David J. Miller;54; James Cook University;;
1377;Ajit V. Rao;15; Not in Google Scholar;;
1378;Kenneth Rose;48; ;;
1379;Peter K. Campbell;36; American Cancer Society;;
138;Andr? J. Noest; Not in Google Scholar; Not in Google Scholar;;
1380;Michael Dale; Not in Google Scholar; Not in Google Scholar;;
1381;Jieyu Zhao; Not in Google Scholar; Not in Google Scholar;;
1382;Richard K. Alley; Not in Google Scholar; Not in Google Scholar;;
1383;Robert S. Hubbard;22; USDA Forest Service;;
1384;Steven Rehfuss; Not in Google Scholar; Not in Google Scholar;;
1385;Dan W. Hammerstrom; Not in Google Scholar; Not in Google Scholar;;
1386;David MacKay;67; University of Cambridge;;
1387;Henry A. Rowley;26; Google;;
1388;Takeo Kanade;144; Carnegie Mellon University;;
1389;Timothy P. Allen;12; Florida International University;;
139;Ronald Rosenfeld; Not in Google Scholar; Not in Google Scholar;;
1390;Ari Juels;71; Cornell Tech;;
1391;Martin Wattenberg;36; ;;
1392;Andr? van Schaik; Not in Google Scholar; Not in Google Scholar;;
1393;Eric Fragni?re; Not in Google Scholar; Not in Google Scholar;;
1394;Eric A. Vittoz; Not in Google Scholar; Not in Google Scholar;;
1395;David W. Opitz; Not in Google Scholar; Not in Google Scholar;;
1396;Kukjin Kang; Not in Google Scholar; Not in Google Scholar;;
1397;Jong-Hoon Oh;18; NICT;;
1398;K. Y. Michael Wong; Not in Google Scholar; Not in Google Scholar;;
1399;Silvio P. Sabatini;14; University of Genoa;;
14;Christopher L. Scofield; Not in Google Scholar; Not in Google Scholar;;
140;David S. Touretzky;44; Carnegie Mellon University;;
1400;Fabio Solari;13; University of Genoa;;
1401;Giacomo M. Bisio; Not in Google Scholar; Not in Google Scholar;;
1402;Curtis Padgett; Not in Google Scholar; Not in Google Scholar;;
1403;Tom Heskes;37; Radboud University Nijmegen;;
1404;Andreas Ziehe;27; TU Berlin;;
1405;Adam Krzyzak; Not in Google Scholar; Not in Google Scholar;;
1406;Tam?s Linder; Not in Google Scholar; Not in Google Scholar;;
1407;Ron Papka; Not in Google Scholar; Not in Google Scholar;;
1408;James P. Callan;3; CQU;;
1409;Steven E. Golowich; Not in Google Scholar; Not in Google Scholar;;
141;Norberto M. Grzywacz; Not in Google Scholar; Not in Google Scholar;;
1410;Alex J. Smola;99; ;;
1411;Kazumi Saito; Not in Google Scholar; Not in Google Scholar;;
1412;Juan K. Lin;7; ;;
1413;David G. Grier;62; New York University;;
1414;Cazhaow S. Quazaz; Not in Google Scholar; Not in Google Scholar;;
1415;Gerhard Rigoll; Not in Google Scholar; Not in Google Scholar;;
1416;Christoph Neukirchen; Not in Google Scholar; Not in Google Scholar;;
1417;Nick Littlestone; Not in Google Scholar; Not in Google Scholar;;
1418;Chris Mesterharm; Not in Google Scholar; Not in Google Scholar;;
1419;Ferdinand Peper; Not in Google Scholar; Not in Google Scholar;;
142;Franklin R. Amthor; Not in Google Scholar; Not in Google Scholar;;
1420;Hideki Noda; Not in Google Scholar; Not in Google Scholar;;
1421;Friedrich Leisch;44; ;;
1422;Thomas C. Ferr?e; Not in Google Scholar; Not in Google Scholar;;
