paperId,topicId,topicWeight
1297,5,0.7357
1298,6,0.4321
1299,5,0.295
13,2,0.4763
130,3,0.5176
1301,2,0.7441
1302,5,0.8043
1303,3,0.6793
1304,2,0.9452
1305,4,0.5535
1306,3,0.5017
1307,4,0.9344
1308,1,0.6001
1309,2,0.4495
131,4,0.9985
1310,2,0.8788
1311,3,0.5811
1312,2,0.7315
1313,3,0.4799
1314,6,0.4712
1315,6,0.5105
1316,1,0.6631
1317,5,0.8385
1318,1,0.911
1319,4,0.8239
132,2,0.5742
1320,2,0.5869
1321,2,0.7516
1322,4,0.9791
1323,3,0.5259
1324,2,0.6611
1325,1,0.5218
1326,3,0.3822
1327,3,0.293
1328,1,0.3622
1329,2,0.4023
133,3,0.6596
1330,2,0.8451
1331,0,0.3848
1332,6,0.4014
1333,3,0.4728
1334,1,0.4523
1335,3,0.4634
1336,4,0.4217
1337,4,0.8838
1338,4,0.9986
1339,3,0.5906
134,3,0.8232
1340,3,0.5788
1341,1,0.7075
1342,6,0.6407
1343,7,0.3314
1344,2,0.5377
1345,2,0.5587
1346,7,0.3827
1347,1,0.7682
1348,7,0.4633
1349,3,0.7547
135,3,0.7469
1350,2,0.3413
1351,0,0.4331
1352,2,0.5948
1353,1,0.4828
1354,2,0.533
1355,7,0.4091
1356,2,0.4603
1357,3,0.5151
1358,3,0.3292
1359,3,0.4565
136,3,0.6333
1360,4,0.764
1361,3,0.6647
1362,5,0.8698
1363,1,0.6373
1364,4,0.6292
1365,2,0.6382
1366,3,0.2831
1367,4,0.5295
1368,4,0.4941
1369,2,0.5076
137,4,0.7448
1370,3,0.7653
1371,2,0.9672
1372,6,0.6608
1373,3,0.6446
1374,2,0.8626
1375,1,0.9045
1376,1,0.4219
1377,2,0.4635
1378,7,0.4745
1379,3,0.9367
138,2,0.5765
1380,1,0.5991
1381,2,0.3878
1382,5,0.5289
1383,5,0.8802
1384,5,0.7062
1385,3,0.6117
1386,5,0.4086
1387,6,0.4587
1388,1,0.5929
1389,3,0.4812
139,2,0.5488
1390,3,0.5796
1391,2,0.7724
1392,1,0.7902
1393,3,0.5395
1394,3,0.6498
1395,4,0.9258
1396,4,0.6503
1397,1,0.4572
1398,6,0.4837
1399,2,0.5513
14,2,0.4901
140,7,0.2669
1400,2,0.8112
1401,2,0.8488
1402,2,0.5493
1403,2,0.8123
1404,5,0.6135
1405,3,0.9324
1406,3,0.2968
1407,3,0.3586
1408,1,0.4977
1409,5,0.7989
141,3,0.8549
1410,4,0.417
1411,2,0.4909
1412,1,0.5491
1413,1,0.5184
1414,2,0.3481
1415,2,0.3622
1416,2,0.427
1417,3,0.4003
1418,3,0.616
1419,5,0.5173
142,3,0.4433
1420,5,0.8573
1421,7,0.4771
1422,1,0.7204
1423,2,0.6309
1424,6,0.4854
1425,3,0.5064
1426,3,0.7925
1427,5,0.8654
1429,3,0.4647
143,3,0.4458
1430,2,0.5281
1431,1,0.3751
1432,3,0.7718
1433,2,0.3428
1434,5,0.5364
1435,7,0.3277
1436,0,0.5939
1437,2,0.3279
1438,2,0.327
1439,2,0.7757
144,4,0.4783
1440,3,0.4475
1441,1,0.3956
1442,4,0.4138
1443,3,0.3334
1444,1,0.9001
1445,0,0.3246
1446,6,0.3414
1447,5,0.8449
1449,3,0.4063
145,2,0.703
1450,0,0.4213
1452,1,0.7554
1453,6,0.8007
1454,3,0.4753
1455,2,0.2961
1456,4,0.4967
