paper_id,author_id
1000,541
1000,7006
1001,1221
1001,189
1001,7856
1001,966
1001,997
1002,632
1002,7000
1002,7072
1002,7106
1002,7762
1002,7871
1002,938
1003,6952
1004,7768
1004,7771
1004,7790
1006,7030
1006,7113
1007,1023
1007,1132
1007,1571
1007,200
1007,303
1007,326
1007,4690
1007,54
1007,572
1007,7013
1007,7748
1007,7778
1007,859
1009,7102
1009,7723
101,7102
101,7723
1011,1037
1011,1640
1011,6338
1011,7803
1011,960
1012,7113
1012,7748
1012,7807
1015,2540
1015,7112
1017,7060
1017,7788
1018,7766
1018,9019
1019,632
1019,9291
1027,3429
1028,7759
1029,6617
1030,7074
1030,7075
1030,7077
1030,7120
1031,218
1032,6844
1034,7748
1035,6952
1039,1983
1040,6952
1042,6338
1044,7808
1045,41
1048,1386
1048,632
1048,6617
1048,7072
105,7023
105,7113
105,7734
105,7735
1050,541
1050,7807
1052,7811
1054,1297
1054,205
1054,2449
1054,7728
1055,43
1055,868
1056,1087
1056,1983
1056,5485
1059,1037
1059,7755
1059,7756
1059,7758
106,2178
106,7107
1061,625
1062,1018
1062,13
1062,2866
1067,557
1067,7065
107,476
107,7734
107,7735
107,7755
1070,1278
1070,2260
1070,2449
1070,6537
1070,7856
1070,975
1071,6949
1071,7719
1072,7759
1072,7827
1073,7069
1074,368
1074,4
1074,7787
1074,7788
1074,7807
1074,7814
1075,966
1077,2155
1079,7068
1079,7811
108,1542
108,2579
108,4
108,5
1081,9291
1082,568
1082,7828
1083,4108
1083,632
1083,7811
1083,849
1086,7756
1086,7856
1087,333
1089,326
1089,5646
1089,768
1089,7783
1089,7807
1091,6949
1091,7719
1095,7759
1097,7779
1099,1253
1099,1417
1099,7750
11,2867
110,124
110,125
110,1394
110,261
110,7734
1100,632
1101,7750
1103,632
1103,6952
1107,7761
1108,7728
1109,558
1109,632
111,7856
111,9291
1111,632
1111,6338
1111,7811
1113,168
1113,7023
1113,7113
1113,7735
1114,1007
1118,172
1118,7807
1119,792
1122,7807
1124,6415
1124,6836
1127,7059
1127,7828
1128,1247
1128,1333
1128,1505
1128,191
1128,217
1128,2478
1128,465
1128,530
1128,7071
1128,7784
1128,855
113,7746
1133,7068
1133,7069
1133,7748
1133,7766
1133,7811
1138,7714
1141,7059
1141,7788
1143,1019
1144,6338
1146,1205
1147,6968
1147,7066
1147,7748
1147,7792
1147,7793
1153,1019
1155,6338
1156,7759
1156,7827
1157,282
1157,287
1160,601
1160,602
1160,89
1161,7843
1164,41
1164,501
1166,7097
1166,9291
1167,1983
1168,146
1168,168
1168,26
1168,309
1168,379
1168,7023
1168,7113
1168,7735
1168,7757
1168,7871
1170,7074
1170,7075
1170,7756
1170,7806
1172,7807
1173,721
1176,2260
1176,7856
1178,7699
1179,1482
1180,7848
1181,7793
1186,7067
1187,5245
1187,7756
119,7871
119,9291
1194,1320
1194,758
1194,815
1197,1185
1197,1451
1197,632
1197,7072
1200,7856
1203,7808
1204,1331
1204,3618
1204,6348
1204,736
1204,7828
1204,947
1205,7074
1205,7075
1205,7076
1206,1289
1206,364
