AuthorId,PageRank,Order
9291,0.021915742716014104,1
7758,0.019614119819741045,2
7735,0.01890357818249213,3
7113,0.017059655241489013,4
2228,0.013342975752019072,5
7023,0.01321112802964,6
7756,0.012535651231697779,7
168,0.012012594172725558,8
2300,0.008636406425342004,9
7757,0.008130202689650756,10
7852,0.00789957323653005,11
7755,0.007518163675224588,12
7856,0.007512709866206937,13
7734,0.006057520406990045,14
6887,0.0052790757240428,15
7759,0.005244299847611702,16
476,0.005183788346024158,17
2268,0.004965640268962349,18
2260,0.004728462214337756,19
6338,0.0046863412162306,20
7106,0.004361675536398718,21
7788,0.004352433556732856,22
7811,0.004075428208812666,23
174,0.0040727827148954576,24
2246,0.003999144843182551,25
6949,0.0038878162275410343,26
3034,0.0037856792537341506,27
7729,0.0037776096236739,28
6886,0.0037627723432629994,29
3393,0.003719964495121924,30
7058,0.0036386915135042295,31
7067,0.0035275436634297393,32
2629,0.0034798163955520604,33
7068,0.003464637346725453,34
6885,0.0034529520559072172,35
7102,0.003426992812301266,36
1969,0.003250288275629812,37
789,0.0032109280628662327,38
7871,0.003161900455890001,39
178,0.0031151950929506,40
7723,0.0030385570324847557,41
7807,0.0029860317015574234,42
6910,0.002819060296375783,43
7843,0.0027591437724251468,44
205,0.002730920874480375,45
330,0.002728571846797615,46
7158,0.002724618881338947,47
3110,0.002613969112859059,48
3177,0.002613817464358153,49
7728,0.0025728246234583843,50
3986,0.002570247204094899,51
7828,0.0025554786089903685,52
7719,0.0025008732494866378,53
758,0.0024756731341884306,54
1998,0.0024217672197078825,55
2230,0.002419463381259232,56
863,0.0023938582825889483,57
388,0.0023001883929250288,58
8382,0.0022744731745818862,59
1853,0.0022694228744349703,60
43,0.002245492034369489,61
8383,0.0022017612977408545,62
1901,0.0021893641262198025,63
710,0.0021882512291386143,64
7726,0.00217886039645482,65
7120,0.0021721086644860776,66
2559,0.002168218876340576,67
6268,0.002129734458078257,68
5657,0.0021198478461325887,69
1173,0.002119273319860483,70
2352,0.002116932674971699,71
1020,0.0020090617219802108,72
6348,0.0018891775846948508,73
1355,0.0018269113999362856,74
1398,0.0017362353683250179,75
1559,0.001691155257685533,76
23,0.00165715557705093,77
736,0.0016334890875043114,78
627,0.0016133979853646598,79
830,0.0016090697440465215,80
2978,0.0015992051625039474,81
200,0.0015759833599007125,82
2675,0.0015756503408593488,83
646,0.0015338104131687876,84
7766,0.0015316311745961235,85
5231,0.0015132860204254196,86
7077,0.0015108039385129614,87
2139,0.0014653490841086824,88
7013,0.0014621074758350125,89
6593,0.0014607245028186134,90
7060,0.0014229734437813685,91
5061,0.0014229532101573195,92
7750,0.0014100293739031753,93
976,0.0014023016203998215,94
