author_id,institution_id
2245, 121 
2248, 847 
2249, 958 
2252, 604 
2253, 216 
2254, 216 
2257, 244 
2258, 892 
2261, 652 
2262, 121 
2263, 972 
2266, 762 
2272, 71 
2273, 845 
2274, 910 
2276, 401 
2279, 938 
2281, 135 
2285, 777 
2293, 585 
2303, 182 
2304, 434 
2307, 50 
2312, 766 
2315, 768 
2316, 1031 
2318, 89 
232, 874 
2324, 749 
2326, 140 
2327, 140 
2335, 208 
2336, 89 
2339, 192 
2344, 650 
2347, 145 
2349, 427 
2357, 769 
2358, 952 
2359, 405 
2364, 940 
2367, 777 
2368, 676 
2369, 746 
2377, 955 
2378, 955 
238, 417 
2381, 363 
2382, 859 
2383, 1013 
2384, 952 
2386, 747 
2387, 42 
2389, 262 
2390, 1031 
2398, 585 
24, 952 
2400, 79 
2401, 768 
2404, 522 
2409, 807 
2410, 674 
2413, 227 
2418, 19 
243, 431 
2431, 911 
2432, 712 
2434, 761 
2435, 885 
2436, 810 
2438, 548 
2444, 10 
2445, 734 
2449, 896 
2450, 428 
2458, 419 
2459, 796 
2462, 354 
2465, 1022 
2468, 662 
2469, 1050 
247, 833 
2471, 913 
2476, 1027 
2477, 671 
2478, 419 
248, 761 
2483, 32 
2486, 723 
2487, 1018 
2488, 775 
2489, 503 
2490, 618 
2492, 89 
2494, 182 
2496, 409 
2498, 187 
2502, 192 
2506, 329 
251, 695 
2513, 548 
2514, 522 
2515, 556 
2516, 790 
2520, 386 
2522, 888 
2529, 845 
253, 775 
2535, 759 
2537, 227 
2539, 227 
2543, 940 
2553, 1055 
2557, 69 
2559, 126 
2561, 664 
2563, 89 
2565, 958 
2566, 585 
2567, 255 
2570, 684 
2571, 89 
2572, 952 
2577, 537 
2579, 929 
2581, 892 
2585, 772 
2587, 522 
2590, 585 
2591, 952 
2592, 952 
2593, 955 
260, 938 
2602, 42 
2603, 524 
2608, 859 
2610, 494 
2614, 603 
2624, 712 
2625, 884 
2627, 898 
2629, 638 
2630, 237 
2631, 585 
2635, 488 
2636, 398 
2640, 418 
2641, 668 
2644, 469 
2647, 252 
2648, 930 
2651, 121 
2652, 919 
2657, 444 
2658, 562 
2659, 753 
2660, 497 
2664, 1051 
2666, 902 
2671, 802 
2673, 677 
2676, 227 
2683, 89 
2686, 664 
2692, 262 
2693, 796 
2694, 851 
2696, 388 
2698, 80 
2699, 919 
270, 726 
2700, 786 
2701, 863 
2703, 912 
2705, 524 
2706, 156 
2707, 77 
271, 896 
2710, 878 
2711, 877 
2714, 110 
2716, 952 
2720, 664 
2723, 126 
2726, 144 
2728, 517 
2729, 154 
2730, 895 
2731, 135 
2732, 551 
2734, 225 
2736, 138 
2737, 7 
2738, 239 
2742, 796 
2743, 11 
2744, 279 
2746, 227 
2755, 821 
2757, 669 
2758, 71 
2759, 126 
2760, 44 
2761, 772 
2772, 149 
2779, 968 
2780, 723 
2784, 859 
2788, 847 
2789, 847 
2794, 473 
2796, 752 
2797, 488 
2798, 421 
2803, 187 
2804, 1055 
2806, 1016 
2808, 544 
281, 801 
2812, 814 
2814, 898 
2815, 42 
2816, 115 
2817, 525 
2820, 371 
2822, 347 
2823, 885 
2824, 859 
2828, 894 
283, 580 
2830, 900 
2834, 1028 
2836, 863 
284, 27 
2841, 132 
2844, 337 
2848, 482 
2850, 419 
2851, 80 
2852, 1005 
2858, 493 
2859, 863 
2860, 732 
2864, 866 
2866, 768 
2867, 465 
2873, 298 
2875, 607 
2876, 83 
2877, 777 
2878, 664 
2879, 863 
2885, 126 
2886, 4 
2893, 126 
2894, 289 
2896, 810 
2898, 617 
2899, 89 
2900, 451 
2901, 334 
2902, 334 
2903, 562 
2906, 347 
2907, 283 
2908, 845 
2909, 324 
2910, 368 
2915, 383 
2916, 227 
2926, 227 
2929, 187 
2934, 227 
2940, 732 
2942, 187 
2946, 940 
2954, 943 
2955, 482 
2958, 1045 
296, 252 
2961, 247 
2962, 43 
2965, 227 
2966, 126 
2967, 945 
2970, 524 
2971, 952 
2972, 585 
2976, 618 
2977, 612 
2978, 958 
2986, 634 
2991, 688 
2992, 180 
2993, 465 
2995, 607 
2999, 965 
3001, 149 
3002, 149 
3003, 891 
3006, 891 
3007, 706 
3011, 419 
3013, 973 
3014, 973 
3015, 396 
3016, 50 
3020, 914 
3024, 422 
3028, 543 
3029, 355 
3031, 441 
3032, 734 
3034, 790 
3045, 986 
305, 929 
3050, 796 
3052, 259 
3055, 585 
3056, 227 
3058, 66 
3061, 413 
3062, 892 
3063, 605 
3068, 859 
3073, 680 
3074, 604 
3077, 721 
3082, 495 
3086, 482 
3092, 974 
3096, 43 
3099, 227 
310, 216 
3101, 807 
3102, 922 
3105, 782 
3106, 388 
3107, 821 
3108, 591 
3109, 769 
3110, 89 
3116, 419 
3117, 814 
3123, 585 
3124, 89 
3125, 585 
3126, 46 
3129, 585 
313, 536 
3131, 419 
3132, 532 
3134, 73 
3136, 846 
3137, 1054 
3138, 1013 
3139, 171 
3144, 262 
3149, 217 
315, 892 
3150, 632 
3153, 77 
3154, 1046 
3161, 221 
3166, 1037 
3167, 251 
3170, 263 
3171, 98 
3177, 1050 
3178, 768 
3179, 149 
3180, 846 
3185, 504 
3187, 748 
3188, 80 
3191, 833 
3193, 89 
3196, 558 
3197, 314 
3202, 879 
3206, 1055 
3208, 1027 
3209, 564 
3210, 909 
3212, 903 
3213, 989 
3217, 138 
3218, 126 
3221, 126 
3224, 851 
3228, 834 
323, 585 
3236, 419 
3237, 633 
324, 777 
3241, 796 
3242, 1031 
3244, 522 
3245, 1051 
3246, 821 
3247, 821 
3252, 935 
3253, 929 
3256, 605 
3257, 710 
3260, 514 
3261, 182 
3264, 227 
3271, 874 
3273, 66 
328, 585 
3284, 187 
3288, 89 
3291, 187 
3292, 659 
3293, 334 
3294, 511 
3295, 262 
3298, 856 
33, 952 
330, 766 
3302, 742 
3304, 859 
3307, 89 
331, 903 
3314, 115 
3317, 642 
3320, 245 
3321, 925 
3322, 252 
3323, 121 
3325, 324 
3332, 227 
3335, 126 
3339, 712 
3340, 702 
3341, 149 
3344, 762 
3347, 769 
3351, 1000 
3354, 227 
3355, 227 
3357, 889 
3362, 793 
3364, 929 
